sample,run,plate,type,gel_band,concentration,reads_total,qPCR_P/N,qPCR_score,average_Ct,qPCR_inhibition,qPCR_degradation
F396,Run 2,7,FERA,Yes,1.73,28945,N,0,0.0,No,No
F397,Run 2,7,FERA,Yes,7.00,33678,N,0,0.0,No,No
F398,Run 2,7,FERA,Yes,25.20,58839,N,0,0.0,No,No
F399,Run 2,7,FERA,No,0.26,33,N,0,0.0,No,No
F39,Run 1,1,FERA,Yes,20.00,68181,N,2,39.6,No,No
F3,Run 1,1,FERA,Yes,0.28,4236,N,1,39.8,No,No
F400,Run 2,7,FERA,Yes,10.40,45112,N,0,0.0,No,No
F401,Run 2,7,FERA,Yes,3.83,27045,N,0,0.0,No,No
F402,Run 2,7,FERA,Yes,11.00,46230,N,0,0.0,No,No
F403,Run 2,7,FERA,Yes,14.30,49060,N,0,0.0,No,No
F404,Run 2,7,FERA,Yes,16.00,46166,N,0,0.0,No,No
F405,Run 2,7,FERA,Yes,20.30,50768,N,0,0.0,No,No
F406,Run 2,7,FERA,Yes,17.50,102115,N,0,0.0,No,No
F407,Run 2,7,FERA,Yes,12.90,45472,N,0,0.0,No,No
F408,Run 2,7,FERA,Yes,30.40,56877,N,0,0.0,No,No
F409,Run 2,7,FERA,Yes,2.85,38753,N,0,0.0,No,No
F40,Run 1,1,FERA,Yes,12.20,64919,N,0,42.7,No,No
F410,Run 2,7,FERA,Yes,21.90,50584,N,0,0.0,No,No
F411,Run 2,7,FERA,Yes,15.30,51045,N,0,0.0,No,No
F412,Run 2,7,FERA,Yes,24.00,59606,N,0,0.0,No,No
F413,Run 2,7,FERA,Yes,1.56,13868,N,0,0.0,No,No
F414,Run 2,7,FERA,Yes,20.40,62611,N,0,0.0,No,No
F415,Run 2,7,FERA,Yes,21.60,55029,N,0,0.0,No,No
F416,Run 2,7,FERA,No,0.00,19,N,0,0.0,No,No
F417,Run 2,7,FERA,Yes,14.80,46173,N,0,0.0,No,No
F418,Run 2,7,FERA,Yes,1.59,48745,N,0,0.0,No,No
F419,Run 2,7,FERA,Yes,11.70,44480,N,0,0.0,No,No
F41,Run 1,1,FERA,Yes,4.45,64585,N,0,0.0,No,No
F420,Run 2,7,FERA,No,7.44,75,N,0,0.0,No,No
F421,Run 2,7,FERA,Yes,1.34,8174,N,0,0.0,No,No
F422,Run 2,7,FERA,Yes,0.07,219351,N,0,0.0,No,No
F423,Run 2,7,FERA,Yes,0.15,430560,N,0,0.0,No,No
F424,Run 2,7,FERA,Yes,0.12,333992,N,0,0.0,No,No
F425,Run 2,7,FERA,Yes,1.30,34235,N,0,0.0,No,No
F426,Run 2,7,FERA,Yes,3.81,43050,N,0,0.0,No,No
F427,Run 2,7,FERA,Yes,10.50,37254,N,0,0.0,No,No
F428,Run 2,7,FERA,Yes,1.72,40895,N,0,0.0,No,No
F429,Run 2,7,FERA,Yes,3.03,46003,N,0,0.0,No,No
F42,Run 1,1,FERA,Yes,11.40,64400,N,0,0.0,No,No
F430,Run 2,7,FERA,No,0.00,94,N,0,0.0,No,No
F431,Run 2,7,FERA,Yes,4.77,43595,N,0,0.0,No,No
F432,Run 2,7,FERA,Yes,0.14,4207,N,0,0.0,No,No
F433,Run 2,7,FERA,Yes,2.40,39666,N,0,0.0,No,No
F434,Run 2,7,FERA,Yes,0.18,4532,N,0,0.0,No,No
