SampleID	marker	SRA_accession	BioSample_accession	BioProject_accession
F406	12S	SRR6285421	SAMN08011930	PRJNA417951
F407	12S	SRR6285418	SAMN08011931	PRJNA417951
F408	12S	SRR6285419	SAMN08011932	PRJNA417951
F409	12S	SRR6285424	SAMN08011933	PRJNA417951
F41	12S	SRR6285425	SAMN08011934	PRJNA417951
F410	12S	SRR6285422	SAMN08011935	PRJNA417951
F411	12S	SRR6285423	SAMN08011936	PRJNA417951
F412	12S	SRR6285414	SAMN08011937	PRJNA417951
F413	12S	SRR6285415	SAMN08011938	PRJNA417951
F414	12S	SRR6285941	SAMN08011939	PRJNA417951
F415	12S	SRR6285940	SAMN08011940	PRJNA417951
F416	12S	SRR6285943	SAMN08011941	PRJNA417951
F417	12S	SRR6285942	SAMN08011942	PRJNA417951
F418	12S	SRR6285945	SAMN08011943	PRJNA417951
F419	12S	SRR6285944	SAMN08011944	PRJNA417951
F42	12S	SRR6285947	SAMN08011945	PRJNA417951
F420	12S	SRR6285946	SAMN08011946	PRJNA417951
F421	12S	SRR6285935	SAMN08011947	PRJNA417951
F422	12S	SRR6285934	SAMN08011948	PRJNA417951
F423	12S	SRR6285661	SAMN08011949	PRJNA417951
F424	12S	SRR6285662	SAMN08011950	PRJNA417951
F425	12S	SRR6285628	SAMN08011951	PRJNA417951
F426	12S	SRR6285664	SAMN08011952	PRJNA417951
F427	12S	SRR6285665	SAMN08011953	PRJNA417951
F428	12S	SRR6285666	SAMN08011954	PRJNA417951
F429	12S	SRR6285667	SAMN08011955	PRJNA417951
F43	12S	SRR6285668	SAMN08011956	PRJNA417951
F430	12S	SRR6285952	SAMN08011957	PRJNA417951
F431	12S	SRR6285958	SAMN08011958	PRJNA417951
F432	12S	SRR6285888	SAMN08011959	PRJNA417951
F433	12S	SRR6285887	SAMN08011960	PRJNA417951
F434	12S	SRR6285886	SAMN08011961	PRJNA417951
F435	12S	SRR6285885	SAMN08011962	PRJNA417951
F436	12S	SRR6285884	SAMN08011963	PRJNA417951
F437	12S	SRR6285883	SAMN08011964	PRJNA417951
F438	12S	SRR6285882	SAMN08011965	PRJNA417951
F439	12S	SRR6285881	SAMN08011966	PRJNA417951
F44	12S	SRR6285880	SAMN08011967	PRJNA417951
F440	12S	SRR6285879	SAMN08011968	PRJNA417951
F441	12S	SRR6285535	SAMN08011969	PRJNA417951
F442	12S	SRR6285536	SAMN08011970	PRJNA417951
F443	12S	SRR6285533	SAMN08011971	PRJNA417951
F444	12S	SRR6285534	SAMN08011972	PRJNA417951
F445	12S	SRR6285531	SAMN08011973	PRJNA417951
F446	12S	SRR6285532	SAMN08011974	PRJNA417951
F447	12S	SRR6285529	SAMN08011975	PRJNA417951
F448	12S	SRR6285530	SAMN08011976	PRJNA417951
F449	12S	SRR6285527	SAMN08011977	PRJNA417951
F45	12S	SRR6285528	SAMN08011978	PRJNA417951
F450	12S	SRR6285688	SAMN08011979	PRJNA417951
F451	12S	SRR6285687	SAMN08011980	PRJNA417951
F452	12S	SRR6285690	SAMN08011981	PRJNA417951
F453	12S	SRR6285689	SAMN08011982	PRJNA417951
F454	12S	SRR6285684	SAMN08011983	PRJNA417951
F455	12S	SRR6285683	SAMN08011984	PRJNA417951
F456	12S	SRR6285686	SAMN08011985	PRJNA417951
F457	12S	SRR6285685	SAMN08011986	PRJNA417951
F458	12S	SRR6285680	SAMN08011987	PRJNA417951
F459	12S	SRR6285679	SAMN08011988	PRJNA417951
F46	12S	SRR6285871	SAMN08011989	PRJNA417951
F460	12S	SRR6285870	SAMN08011990	PRJNA417951
F461	12S	SRR6285873	SAMN08011991	PRJNA417951
F462	12S	SRR6285872	SAMN08011992	PRJNA417951
F463	12S	SRR6285875	SAMN08011993	PRJNA417951
F464	12S	SRR6285874	SAMN08011994	PRJNA417951
F465	12S	SRR6285351	SAMN08011995	PRJNA417951
F466	12S	SRR6285350	SAMN08011996	PRJNA417951
F467	12S	SRR6285315	SAMN08011997	PRJNA417951
